date_onset,all_cases,osaka_cases,fukuoka_cases
2020/01/16,1,0,0
2020/01/17,0,0,0
2020/01/18,0,0,0
2020/01/19,0,0,0
2020/01/20,0,0,0
2020/01/21,0,0,0
2020/01/22,0,0,0
2020/01/23,0,0,0
2020/01/24,1,0,0
2020/01/25,1,0,0
2020/01/26,1,0,0
2020/01/27,0,0,0
2020/01/28,3,0,0
2020/01/29,1,1,0
2020/01/30,4,0,0
2020/01/31,0,0,0
2020/02/01,0,0,0
2020/02/02,0,0,0
2020/02/03,0,0,0
2020/02/04,1,0,0
2020/02/05,2,0,0
2020/02/06,0,0,0
2020/02/07,0,0,0
2020/02/08,0,0,0
2020/02/09,0,0,0
2020/02/10,0,0,0
2020/02/11,1,0,0
2020/02/12,1,0,0
2020/02/13,3,0,0
2020/02/14,5,0,0
2020/02/15,4,0,0
2020/02/16,1,0,0
2020/02/17,6,0,0
2020/02/18,8,0,0
2020/02/19,9,0,0
2020/02/20,8,0,2
2020/02/21,13,0,0
2020/02/22,23,0,0
2020/02/23,10,0,0
2020/02/24,16,0,0
2020/02/25,8,0,0
2020/02/26,22,0,0
2020/02/27,24,1,0
2020/02/28,19,2,0
2020/02/29,9,0,0
2020/03/01,14,0,1
2020/03/02,14,2,0
2020/03/03,22,2,0
2020/03/04,34,9,0
2020/03/05,33,1,0
2020/03/06,54,13,0
2020/03/07,44,10,0
2020/03/08,35,15,0
2020/03/09,27,0,0
2020/03/10,60,17,0
2020/03/11,52,7,0
2020/03/12,55,9,0
2020/03/13,34,3,0
2020/03/14,62,10,0
2020/03/15,29,4,0
2020/03/16,16,2,0
2020/03/17,45,4,1
2020/03/18,39,5,0
2020/03/19,39,2,1
2020/03/20,52,4,0
2020/03/21,35,2,0
2020/03/22,45,6,0
2020/03/23,39,3,1
2020/03/24,89,8,3
2020/03/25,93,7,0
2020/03/26,93,7,3
2020/03/27,96,20,4
2020/03/28,222,15,6
2020/03/29,151,17,4
2020/03/30,80,8,3
2020/03/31,227,28,17
2020/04/01,257,34,32
2020/04/02,281,33,23
2020/04/03,353,36,19
2020/04/04,365,40,27
2020/04/05,346,21,16
2020/04/06,248,20,14
2020/04/07,365,53,23
2020/04/08,522,43,25
2020/04/09,574,92,26
2020/04/10,640,80,39
2020/04/11,644,70,43
2020/04/12,486,45,30
2020/04/13,387,24,11
2020/04/14,446,61,33
2020/04/15,552,74,30
2020/04/16,558,53,26
2020/04/17,572,51,17
2020/04/18,577,86,24
2020/04/19,377,48,16
2020/04/20,346,83,2
2020/04/21,389,55,21
2020/04/22,446,32,21
2020/04/23,439,34,12
2020/04/24,444,34,12
2020/04/25,371,29,14
2020/04/26,224,17,11
2020/04/27,182,28,9
2020/04/28,279,32,4
2020/04/29,217,43,13
2020/04/30,202,26,3
2020/05/01,282,24,3
2020/05/02,288,7,3
2020/05/03,195,11,0
2020/05/04,181,13,1
2020/05/05,119,7,1
2020/05/06,104,15,1
2020/05/07,107,9,1
2020/05/08,88,10,0
2020/05/09,108,16,2
2020/05/10,66,11,1
2020/05/11,58,1,0
2020/05/12,87,10,1
2020/05/13,55,12,1
2020/05/14,99,3,1
2020/05/15,55,4,0
2020/05/16,56,4,0
2020/05/17,29,0,1
2020/05/18,30,2,0
2020/05/19,32,6,0
2020/05/20,37,3,0
2020/05/21,45,4,0
2020/05/22,30,4,0
2020/05/23,30,1,4
2020/05/24,40,0,4
2020/05/25,22,0,6
2020/05/26,27,1,2
2020/05/27,37,4,8
2020/05/28,62,0,21
2020/05/29,63,1,26
2020/05/30,46,2,17
2020/05/31,33,1,12
2020/06/01,36,0,16
2020/06/02,51,1,6
2020/06/03,26,0,6
2020/06/04,45,0,6
2020/06/05,41,0,5
2020/06/06,45,1,2
2020/06/07,32,1,3
2020/06/08,22,0,3
2020/06/09,30,0,3
2020/06/10,36,0,2
