date_onset,all_deaths,osaka_deaths,fukuoka_deaths
2020/05/09,0,0,0
2020/05/10,8,0,0
2020/05/11,22,2,0
2020/05/12,25,0,0
2020/05/13,19,1,0
2020/05/14,23,1,1
2020/05/15,15,3,0
2020/05/16,19,4,0
2020/05/17,5,0,0
2020/05/18,14,0,0
2020/05/19,8,0,0
2020/05/20,6,1,0
2020/05/21,19,5,0
2020/05/22,12,0,0
2020/05/23,12,2,0
2020/05/24,10,0,0
2020/05/25,16,0,0
2020/05/26,12,2,0
2020/05/27,9,0,0
2020/05/28,7,2,0
2020/05/29,12,0,1
2020/05/30,5,1,0
2020/05/31,1,0,0
2020/06/01,2,0,0
2020/06/02,6,1,1
2020/06/03,3,0,0
2020/06/04,4,0,0
2020/06/05,7,0,0
2020/06/06,2,0,0
2020/06/07,0,0,0
2020/06/08,0,0,0
2020/06/09,3,0,0
2020/06/10,1,0,0
2020/06/11,2,1,1
2020/06/12,2,0,0
2020/06/13,1,0,0
2020/06/14,0,0,0
2020/06/15,2,0,0
2020/06/16,4,1,0
2020/06/17,4,0,0
2020/06/18,0,0,0
2020/06/19,17,0,0
2020/06/20,1,0,0
2020/06/21,0,0,0
2020/06/22,2,0,0
2020/06/23,8,0,5
2020/06/24,4,0,0
2020/06/25,1,0,0
2020/06/26,2,0,0
2020/06/27,0,0,0
2020/06/28,1,0,0
2020/06/29,0,0,0
2020/06/30,2,0,0
2020/07/01,1,0,0
2020/07/02,1,0,0
2020/07/03,1,0,0
2020/07/04,0,0,0
2020/07/05,0,0,0
2020/07/06,1,0,0
2020/07/07,2,0,0
2020/07/08,1,0,0
2020/07/09,1,0,0
2020/07/10,0,0,0
2020/07/11,0,0,0
2020/07/12,0,0,0
2020/07/13,0,0,0
2020/07/14,2,0,0
2020/07/15,1,0,0
2020/07/16,0,0,0
2020/07/17,0,0,0
2020/07/18,0,0,0
2020/07/19,0,0,0
2020/07/20,3,0,0
2020/07/21,1,0,0
2020/07/22,1,0,0
2020/07/23,2,0,0
2020/07/24,1,1,0
2020/07/25,3,0,0
2020/07/26,0,0,0
2020/07/27,2,1,0
2020/07/28,3,0,0
2020/07/29,3,1,0
2020/07/30,2,0,0
2020/07/31,5,1,0
2020/08/01,1,0,1
2020/08/02,0,0,0
2020/08/03,4,1,0
2020/08/04,6,1,1
2020/08/05,4,0,0
2020/08/06,7,1,0
2020/08/07,4,0,1
2020/08/08,3,2,0
2020/08/09,7,1,1
2020/08/10,5,0,0
2020/08/11,7,1,1
2020/08/12,4,1,0
2020/08/13,10,3,0
2020/08/14,12,5,1
2020/08/15,3,0,0
2020/08/16,11,0,0
2020/08/17,16,5,2
2020/08/18,13,6,1
2020/08/19,16,5,3
2020/08/20,11,1,1
2020/08/21,14,5,1
2020/08/22,7,1,0
2020/08/23,5,0,1
2020/08/24,15,2,2
2020/08/25,13,3,1
2020/08/26,17,2,2
2020/08/27,12,2,0
2020/08/28,17,9,0
2020/08/29,9,0,3
2020/08/30,15,1,4
2020/08/31,17,4,0
2020/09/01,11,3,2
2020/09/02,12,2,1
2020/09/03,11,0,1
2020/09/04,19,4,3
2020/09/05,8,2,1
2020/09/06,6,2,0
2020/09/07,14,1,1
2020/09/08,16,2,2
2020/09/09,13,3,3
2020/09/10,6,1,0
2020/09/11,11,3,3
2020/09/12,16,2,2
2020/09/13,3,2,0
2020/09/14,9,1,1
2020/09/15,10,6,0
2020/09/16,12,2,4
2020/09/17,9,0,4
2020/09/18,13,2,2
2020/09/19,5,2,0
2020/09/20,0,0,0
2020/09/21,8,1,1
2020/09/22,4,1,0
2020/09/23,8,1,0
2020/09/24,12,4,1
2020/09/25,8,1,3
2020/09/26,5,1,0
2020/09/27,3,0,0
2020/09/28,9,2,0
2020/09/29,7,1,1
2020/09/30,7,2,1
2020/10/01,7,3,1
2020/10/02,12,6,1
2020/10/03,7,2,0
2020/10/04,2,1,0
2020/10/05,3,1,0
2020/10/06,3,1,0
2020/10/07,8,1,0
2020/10/08,3,0,0
2020/10/09,8,0,0
2020/10/10,3,2,0
2020/10/11,2,0,0
2020/10/12,5,1,0
2020/10/13,4,0,0
2020/10/14,8,0,0
2020/10/15,4,0,0
2020/10/16,11,2,0
2020/10/17,9,1,0
2020/10/18,4,0,0
2020/10/19,2,0,1
2020/10/20,3,0,0
2020/10/21,6,2,0
2020/10/22,9,2,0
2020/10/23,12,1,1
2020/10/24,5,1,0
2020/10/25,7,1,0
2020/10/26,7,1,0
2020/10/27,5,0,0
2020/10/28,3,1,0
2020/10/29,11,1,0
2020/10/30,11,1,0
2020/10/31,11,4,1
2020/11/01,8,2,0
2020/11/02,6,0,1
2020/11/03,6,0,0
2020/11/04,8,3,0
2020/11/05,12,2,1
2020/11/06,3,0,0
2020/11/07,3,0,0
2020/11/08,6,0,0
2020/11/09,11,4,0
2020/11/10,12,3,0
2020/11/11,10,1,0
2020/11/12,16,0,0
2020/11/13,13,2,0
2020/11/14,3,1,0
2020/11/15,2,1,0
2020/11/16,18,3,0
2020/11/17,10,1,1
2020/11/18,9,0,0
2020/11/19,21,3,1
2020/11/20,20,4,0
2020/11/21,11,5,0
2020/11/22,7,0,0
2020/11/23,8,1,0
2020/11/24,12,4,0
2020/11/25,21,3,1
2020/11/26,29,12,0
2020/11/27,23,5,0
2020/11/28,32,8,0
2020/11/29,13,6,0
2020/11/30,20,4,1
2020/12/01,33,6,0
2020/12/02,41,7,0
2020/12/03,27,8,0
2020/12/04,43,5,1
2020/12/05,32,6,0
2020/12/06,20,1,0
2020/12/07,47,9,0
2020/12/08,38,9,0
2020/12/09,45,9,1
2020/12/10,37,9,0
2020/12/11,32,7,0
2020/12/12,28,6,0
2020/12/13,23,5,0
2020/12/14,58,14,1
2020/12/15,45,10,0
2020/12/16,51,11,0
2020/12/17,44,12,0
2020/12/18,45,10,0
2020/12/19,45,9,0
2020/12/20,27,6,3
2020/12/21,44,11,0
2020/12/22,50,12,1
2020/12/23,56,8,0
2020/12/24,55,7,2
2020/12/25,50,8,0
2020/12/26,58,11,0
2020/12/27,39,8,0
2020/12/28,54,13,0
2020/12/29,43,5,1
2020/12/30,65,8,1
2020/12/31,46,9,0
2021/01/01,54,9,0
2021/01/02,34,6,0
2021/01/03,51,7,0
2021/01/04,56,11,3
2021/01/05,64,7,0
2021/01/06,72,10,1
2021/01/07,66,8,0
2021/01/08,75,19,2
2021/01/09,64,10,3
2021/01/10,48,7,0
2021/01/11,50,7,1
2021/01/12,51,10,1
2021/01/13,88,13,3
2021/01/14,82,11,1
2021/01/15,65,12,2
2021/01/16,66,12,0
2021/01/17,55,4,0
2021/01/18,47,10,3
2021/01/19,99,13,4
2021/01/20,96,12,8
2021/01/21,87,19,4
2021/01/22,105,16,3
2021/01/23,84,14,4
2021/01/24,65,10,4
2021/01/25,74,7,0
2021/01/26,94,14,3
2021/01/27,109,23,1
2021/01/28,90,15,0
2021/01/29,94,10,0
2021/01/30,108,10,11
2021/01/31,68,11,6
2021/02/01,72,4,0
2021/02/02,118,16,6
2021/02/03,108,12,3
2021/02/04,115,7,4
2021/02/05,108,12,0
2021/02/06,95,14,0
2021/02/07,57,7,0
2021/02/08,81,11,14
2021/02/09,81,12,5
2021/02/10,121,10,1
2021/02/11,96,6,5
2021/02/12,75,8,1
2021/02/13,63,7,4
2021/02/14,40,2,4
2021/02/15,63,4,2
2021/02/16,87,9,5
2021/02/17,94,11,6
2021/02/18,78,4,4
2021/02/19,59,2,1
2021/02/20,84,4,8
2021/02/21,57,1,4
2021/02/22,55,3,5
2021/02/23,55,5,4
2021/02/24,63,4,2
2021/02/25,75,5,6
2021/02/26,85,6,2
2021/02/27,53,3,3
2021/02/28,27,2,1
2021/03/01,46,2,4
2021/03/02,51,4,2
2021/03/03,68,3,8
2021/03/04,67,2,2
2021/03/05,59,4,0
2021/03/06,49,2,0
2021/03/07,26,1,0
2021/03/08,45,2,1
2021/03/09,54,5,2
2021/03/10,50,2,0
2021/03/11,49,2,2
2021/03/12,58,4,1
2021/03/13,51,4,2
2021/03/14,30,0,2
2021/03/15,32,2,1
2021/03/16,56,2,2
2021/03/17,39,2,3
2021/03/18,41,1,1
2021/03/19,32,1,2
2021/03/20,22,0,1
2021/03/21,23,0,2
2021/03/22,26,5,0
2021/03/23,47,2,2
2021/03/24,30,1,1
2021/03/25,29,2,0
2021/03/26,31,1,1
2021/03/27,32,2,1
2021/03/28,30,1,1
2021/03/29,25,2,0
2021/03/30,27,4,0
2021/03/31,49,2,1
2021/04/01,23,0,0
2021/04/02,27,5,0
2021/04/03,8,2,1
2021/04/04,10,3,0
2021/04/05,18,1,0
2021/04/06,30,2,0
2021/04/07,22,2,0
2021/04/08,33,3,1
2021/04/09,20,2,0
2021/04/10,29,7,0
2021/04/11,18,4,0
2021/04/12,25,4,2
2021/04/13,44,8,5
2021/04/14,31,7,0
2021/04/15,38,4,0
2021/04/16,46,16,2
2021/04/17,38,12,0
2021/04/18,19,3,1
2021/04/19,30,4,0
2021/04/20,39,8,0
2021/04/21,54,20,1
2021/04/22,36,8,0
2021/04/23,54,15,0
2021/04/24,59,16,0
2021/04/25,59,21,1
2021/04/26,32,15,0
2021/04/27,51,14,2
2021/04/28,52,14,0
2021/04/29,87,44,1
2021/04/30,35,8,0
2021/05/01,67,41,3
2021/05/02,65,16,2
2021/05/03,58,19,4
2021/05/04,50,20,3
2021/05/05,47,25,0
2021/05/06,72,28,0
2021/05/07,113,50,3
2021/05/08,121,41,4
2021/05/09,53,19,1
2021/05/10,65,15,3
2021/05/11,123,55,2
2021/05/12,101,50,0
2021/05/13,90,33,6
2021/05/14,110,33,4
2021/05/15,98,42,6
2021/05/16,45,15,1
2021/05/17,116,23,0
2021/05/18,228,33,5
2021/05/19,91,22,0
2021/05/20,110,32,8
2021/05/21,109,22,3
2021/05/22,88,24,6
2021/05/23,62,14,3
2021/05/24,86,35,6
2021/05/25,98,27,5
2021/05/26,105,27,2
2021/05/27,113,30,6
2021/05/28,106,13,5
2021/05/29,101,31,8
2021/05/30,47,8,1
2021/05/31,81,16,8
2021/06/01,91,21,4
2021/06/02,105,27,4
2021/06/03,119,19,4
2021/06/04,85,22,7
2021/06/05,74,8,2
2021/06/06,51,5,1
2021/06/07,71,15,3
2021/06/08,98,25,2
2021/06/09,98,27,3
2021/06/10,66,17,1
2021/06/11,69,11,0
2021/06/12,56,12,2
2021/06/13,38,6,1
2021/06/14,55,10,0
2021/06/15,61,4,3
2021/06/16,82,19,6
2021/06/17,51,4,7
2021/06/18,45,17,3
2021/06/19,34,5,0
2021/06/20,23,3,2
2021/06/21,32,13,0
2021/06/22,42,4,1
2021/06/23,57,15,3
2021/06/24,45,11,0
2021/06/25,28,5,2
2021/06/26,31,7,1
2021/06/27,13,0,0
2021/06/28,35,14,1
2021/06/29,35,7,0
2021/06/30,41,3,0
2021/07/01,21,6,0
2021/07/02,22,3,1
2021/07/03,18,0,1
2021/07/04,6,0,0
2021/07/05,14,1,1
2021/07/06,22,4,0
2021/07/07,13,2,0
2021/07/08,20,3,0
2021/07/09,16,2,2
2021/07/10,15,1,0
2021/07/11,7,0,0
2021/07/12,4,0,0
2021/07/13,12,3,1
2021/07/14,19,2,0
2021/07/15,24,2,0
2021/07/16,13,3,0
2021/07/17,13,4,0
2021/07/18,8,1,0
2021/07/19,12,0,2
2021/07/20,19,3,0
2021/07/21,18,4,0
2021/07/22,9,1,0
2021/07/23,9,0,0
2021/07/24,8,1,0
2021/07/25,5,1,0
2021/07/26,8,1,1
2021/07/27,14,0,3
2021/07/28,8,0,0
2021/07/29,13,2,0
2021/07/30,11,0,0
2021/07/31,8,0,0
2021/08/01,5,0,1
2021/08/02,7,1,1
2021/08/03,15,0,1
2021/08/04,9,2,1
2021/08/05,12,2,0
2021/08/06,15,2,1
2021/08/07,18,3,0
2021/08/08,7,2,0
2021/08/09,17,0,1
2021/08/10,14,0,2
2021/08/11,19,2,4
2021/08/12,28,4,2
2021/08/13,25,3,1
2021/08/14,17,0,1
2021/08/15,8,0,0
2021/08/16,23,1,2
2021/08/17,36,4,2
2021/08/18,34,5,1
2021/08/19,33,1,2
2021/08/20,29,1,2
2021/08/21,33,2,0
2021/08/22,35,2,0
2021/08/23,32,8,0
2021/08/24,30,5,1
2021/08/25,44,1,0
2021/08/26,60,6,1
2021/08/27,54,2,2
2021/08/28,45,2,0
2021/08/29,50,2,1
2021/08/30,48,2,3
2021/08/31,47,3,4
2021/09/01,82,12,1
2021/09/02,61,8,2
2021/09/03,63,6,0
2021/09/04,66,12,2
2021/09/05,41,3,0
2021/09/06,33,2,0
2021/09/07,49,6,2
2021/09/08,89,9,1
2021/09/09,78,8,4
2021/09/10,87,14,2
2021/09/11,52,1,1
2021/09/12,55,1,2
2021/09/13,49,4,2
2021/09/14,48,4,2
2021/09/15,65,9,1
2021/09/16,71,12,2
2021/09/17,67,5,1
2021/09/18,59,9,1
2021/09/19,48,3,0
2021/09/20,29,1,0
2021/09/21,43,4,5
2021/09/22,43,9,1
2021/09/23,56,9,1
2021/09/24,46,2,2
2021/09/25,32,4,2
2021/09/26,29,1,1
2021/09/27,29,1,0
2021/09/28,40,8,1
2021/09/29,54,10,0
2021/09/30,43,3,2
